ID,Client_Income,Car_Owned,Bike_Owned,Active_Loan,House_Own,Child_Count,Credit_Amount,Loan_Annuity,Accompany_Client,Client_Income_Type,Client_Education,Client_Marital_Status,Client_Gender,Loan_Contract_Type,Client_Housing_Type,Population_Region_Relative,Age_Days,Employed_Days,Registration_Days,ID_Days,Own_House_Age,Mobile_Tag,Homephone_Tag,Workphone_Working,Client_Occupation,Client_Family_Members,Cleint_City_Rating,Application_Process_Day,Application_Process_Hour,Client_Permanent_Match_Tag,Client_Contact_Work_Tag,Type_Organization,Score_Source_1,Score_Source_2,Score_Source_3,Social_Circle_Default,Phone_Change,Credit_Bureau,Default
12100935,27000,0.0,0.0,1.0,1.0,1.0,67500,3375,Alone,Govt Job,Graduation,S,Male,RL,Home,0.001417,14816,2263,2933,4640,,1,0,0,Core,2.0,2.0,3.0,12.0,Yes,Yes,Government,0.715451011,0.770342652,0.72239289,,1799.0,1.0,0
12191210,15750,0.0,0.0,0.0,0.0,1.0,149963.85,4397.85,Alone,Service,Graduation,M,Male,CL,Family,0.020713,11318,369,5165,2155,,1,0,0,Sales,3.0,2.0,2.0,8.0,Yes,Yes,Self-employed,0.435028377,0.564752392,0.673830078,0.5732,1333.0,3.0,0
12128498,27000,,0.0,0.0,1.0,0.0,28440,1913.4,Alone,Service,Secondary,S,Female,CL,Family,0.018634,10052,389,7758,2647,1.0,1,0,0,Drivers,1.0,2.0,4.0,13.0,Yes,Yes,Self-employed,0.268013843,0.684113808,0.493862882,0.1485,0.0,6.0,0
12130196,8100,0.0,1.0,0.0,0.0,0.0,90000,3826.35,Relative,Retired,Secondary,M,Male,CL,Office,0.00963,21396,365243,8000,4591,,1,0,1,,2.0,2.0,5.0,16.0,Yes,Yes,XNA,,0.585296115,,,2488.0,,0
12196064,22500,0.0,1.0,1.0,1.0,0.0,100424.7,4666.5,Alone,Service,Secondary,S,Male,CL,Home,0.003541,21160,373,,4122,,1,1,1,Sales,1.0,1.0,4.0,13.0,Yes,Yes,,,0.518640821,0.583237926,,759.0,3.0,0
12105180,45000,1.0,0.0,0.0,1.0,1.0,105493.5,4482.45,Alone,Commercial,Secondary,M,Female,CL,Home,0.008068,15568,3062,1145,4739,10.0,1,0,0,Managers,3.0,3.0,5.0,9.0,Yes,Yes,Business Entity Type 3,0.351485971,0.24123121,0.675413291,0.067,713.0,,0
12121919,11250,,0.0,1.0,1.0,1.0,29713.05,2234.25,Alone,Service,Secondary,M,Male,CL,Home,0.005144,12423,3473,7863,3250,,1,0,0,,3.0,2.0,5.0,14.0,Yes,Yes,Business Entity Type 3,0.65445984,0.609119673,,0.0072,243.0,,0
12114826,13500,1.0,1.0,1.0,0.0,1.0,18000,900,Others,Service,Secondary,M,Female,RL,Municipal,0.04622,12625,125,6775,,3.0,1,0,0,Drivers,3.0,1.0,1.0,18.0,Yes,No,Industry: type 3,0.533047491,0.552346235,0.865895915,0.1536,2050.0,1.0,0
12106559,15750,0.0,1.0,1.0,1.0,,45000,3007.35,Alone,Service,Secondary,S,Female,CL,Home,0.008866,14536,3465,5871,2594,,1,1,0,Laborers,1.0,2.0,2.0,17.0,Yes,Yes,Other,,0.129861053,0.590233339,0.1031,340.0,2.0,0
12186490,9000,0.0,0.0,0.0,0.0,0.0,22500,2191.95,Alone,Service,Secondary,S,Male,CL,Home,,,2504,6019,1191,,1,0,0,Sales,1.0,2.0,2.0,11.0,Yes,Yes,Business Entity Type 2,,0.418630023,0.595456203,0.0835,2458.0,2.0,0
12141963,27000,1.0,0.0,1.0,0.0,0.0,38053.35,3064.05,Alone,Service,Secondary,M,Male,CL,Home,0.032561,17639,4624,849,1169,2.0,1,0,0,Laborers,2.0,1.0,5.0,13.0,Yes,Yes,Business Entity Type 1,,0.769881953,0.712155155,,1281.0,1.0,0
12193649,15750,0.0,1.0,1.0,1.0,0.0,49121.1,4785.3,Relative,Commercial,Secondary,M,Male,CL,Home,0.006852,18208,1644,9078,1738,,1,0,0,Sales,2.0,3.0,3.0,11.0,Yes,No,Business Entity Type 3,,0.454805012,,,40.0,1.0,0
12150320,18000,0.0,0.0,0.0,0.0,1.0,77368.05,3407.85,Alone,Service,Graduation,,Male,CL,Home,0.020246,13345,389,6248,1032,,1,1,0,Accountants,2.0,3.0,3.0,10.0,Yes,Yes,Business Entity Type 3,,0.438667592,0.600657537,0.1443,1183.0,4.0,0
12190554,19350,1.0,0.0,1.0,0.0,0.0,111384,4732.2,Relative,Commercial,Secondary,M,Male,CL,Home,0.035792,22727,6145,7682,4850,7.0,1,0,0,High skill tech,2.0,2.0,6.0,11.0,Yes,Yes,Business Entity Type 3,,0.642309621,0.843543539,0.0113,0.0,2.0,0
12105063,22500,1.0,0.0,0.0,0.0,0.0,89660.25,4745.25,Alone,Service,Secondary,M,Female,CL,Home,0.010147,11614,616,10384,856,2.0,1,0,0,,2.0,2.0,3.0,15.0,Yes,Yes,Self-employed,,0.328973392,,0.0082,2.0,0.0,0
12215890,31500,1.0,0.0,1.0,1.0,0.0,125640,3468.15,Alone,Service,Secondary,M,Female,,Home,0.018801,12570,5222,6717,3919,15.0,1,0,0,Drivers,2.0,2.0,1.0,11.0,Yes,Yes,Transport: type 4,,0.169878928,0.595456203,0.0619,0.0,0.0,0
12217297,21600,0.0,0.0,1.0,1.0,0.0,125956.35,5336.55,Alone,Service,Secondary,S,Male,CL,Municipal,0.00733,20318,4839,8463,3409,,1,0,0,Laborers,1.0,2.0,1.0,9.0,Yes,Yes,Construction,,0.659582959,,0.2969,2587.0,,0
12190755,27000,1.0,0.0,0.0,1.0,1.0,38152.8,1868.4,Alone,Service,Secondary,D,Female,CL,Home,0.010276,11386,1053,1361,4021,1.0,1,0,0,Laborers,2.0,2.0,5.0,16.0,Yes,No,Business Entity Type 3,,0.219355272,0.270707387,,1542.0,1.0,0
12162956,20250,1.0,0.0,0.0,0.0,0.0,157500,8001,Alone,Commercial,Graduation,M,Male,CL,Home,0.032561,20434,3323,2898,3963,3.0,1,1,1,Managers,2.0,1.0,1.0,9.0,Yes,Yes,Business Entity Type 1,,0.789487221,0.758393062,0.0247,2104.0,0.0,0
12108653,22500,0.0,0.0,0.0,1.0,0.0,43787.7,2248.65,Alone,Service,Secondary,M,,CL,Home,0.00733,20353,6904,6212,558,,1,0,0,Core,2.0,2.0,0.0,13.0,Yes,Yes,Kindergarten,,0.725361103,0.332850564,,1877.0,9.0,0
12199634,11250,0.0,0.0,1.0,1.0,1.0,18000,900,Alone,Service,Secondary,M,Male,RL,Home,0.015221,16900,2283,1481,432,,1,0,0,Sales,3.0,2.0,1.0,,Yes,Yes,Trade: type 3,,0.287171948,0.363945239,0.0619,504.0,1.0,1
12190165,15750,1.0,0.0,0.0,1.0,0.0,20250,1306.8,Alone,Service,Graduation,M,Female,CL,Home,0.01452,10213,352,10213,2666,14.0,1,0,0,,2.0,2.0,4.0,14.0,No,Yes,Industry: type 2,,0.645848742,0.11247435,,1159.0,1.0,0
12191511,4500,1.0,0.0,1.0,1.0,0.0,15282,,Alone,Service,Secondary,M,Male,CL,Home,0.018209,17874,5537,7544,1053,31.0,1,0,0,Sales,2.0,3.0,0.0,7.0,Yes,Yes,Trade: type 7,,0.491534471,0.156639827,,1009.0,1.0,0
12184202,18000,0.0,1.0,0.0,0.0,0.0,67500,2615.4,Alone,Service,Secondary,S,,CL,Home,0.010006,13147,5341,4907,4308,,1,1,0,,,2.0,1.0,14.0,Yes,Yes,Business Entity Type 3,0.295305811,0.496268063,,0.0124,2195.0,,0
12111337,35550,1.0,1.0,1.0,1.0,0.0,77968.8,3316.5,Alone,Service,Secondary,,Male,CL,Home,0.072508,19758,212,5235,2980,16.0,1,1,1,Sales,1.0,1.0,1.0,19.0,Yes,Yes,Self-employed,0.619767676,0.675417268,,,378.0,5.0,0
12167766,32480.55,0.0,0.0,1.0,1.0,0.0,13500,675,Alone,Commercial,Graduation,M,Male,RL,Home,0.026392,9080,,3610,1722,,1,1,0,Core,2.0,2.0,3.0,15.0,No,Yes,Trade: type 2,,,0.434733249,,59.0,1.0,0
12158409,13500,0.0,0.0,0.0,1.0,0.0,201384,5325.3,Alone,Retired,Secondary,,Male,CL,Home,0.010006,20528,365243,1127,4023,,1,0,0,,2.0,2.0,2.0,14.0,Yes,Yes,XNA,,0.632083291,,0.0165,346.0,,0
12111355,12150,0.0,1.0,0.0,1.0,,25128,1712.7,Relative,Service,Secondary,M,Male,CL,Home,0.006671,16012,300,996,3921,,1,0,0,Laborers,2.0,2.0,4.0,18.0,Yes,No,Industry: type 3,,0.139236058,,,374.0,4.0,0
12117444,13950,0.0,0.0,1.0,1.0,0.0,80865,2621.7,Alone,Service,Secondary,M,Male,CL,Home,,21244,8303,7944,4111,,1,0,0,,2.0,3.0,4.0,7.0,No,No,Business Entity Type 2,,0.215907509,0.392773861,,65.0,2.0,0
12129649,15750,0.0,0.0,1.0,1.0,0.0,60415.2,2572.65,Alone,Retired,Secondary,W,Male,CL,Municipal,0.018029,21029,365243,12286,4198,,1,0,0,,1.0,3.0,3.0,9.0,Yes,Yes,XNA,,0.338003963,0.72094415,,282.0,3.0,0
12156911,31500,1.0,0.0,1.0,1.0,3.0,52823.25,4248,Alone,Service,Secondary,,Female,CL,,0.018801,13479,3324,3144,3708,13.0,1,0,0,Laborers,5.0,2.0,2.0,11.0,Yes,Yes,Business Entity Type 3,0.454657286,0.4318519,0.349055251,,1784.0,1.0,0
12217522,9000,1.0,0.0,0.0,1.0,0.0,9000,,Relative,Service,Graduation,M,Male,CL,Home,,,2026,9226,4170,13.0,1,0,0,Core,2.0,2.0,6.0,16.0,Yes,No,Industry: type 2,0.68051193,0.508862793,,,1134.0,0.0,0
12214917,22500,0.0,0.0,0.0,1.0,0.0,82567.35,3511.35,Relative,Retired,Secondary,M,Male,CL,Home,0.072508,,365243,8578,1642,,1,0,0,,2.0,1.0,1.0,15.0,Yes,Yes,XNA,0.804383129,0.536977929,0.270707387,0.0773,48.0,0.0,0
12130231,22500,1.0,1.0,0.0,1.0,2.0,125640,4464.45,Alone,Commercial,Secondary,M,Female,CL,Home,0.035792,15008,2977,767,4473,64.0,1,0,0,Laborers,4.0,2.0,2.0,16.0,Yes,No,Agriculture,0.217238399,0.687360699,0.646329898,,,2.0,0
12136962,24750,0.0,0.0,0.0,1.0,1.0,77702.4,4152.6,Relative,Govt Job,Secondary,D,Male,CL,Home,0.014464,13352,4132,597,,,1,1,1,Laborers,2.0,2.0,4.0,4.0,Yes,Yes,Military,,0.108021597,,0.1278,1392.0,0.0,0
12217931,18000,1.0,0.0,0.0,1.0,0.0,107820,3165.3,Alone,Service,Secondary,M,Male,CL,Home,0.028663,17507,2664,8417,1046,8.0,1,0,0,Cleaning,2.0,2.0,6.0,13.0,Yes,Yes,Kindergarten,,0.56820545,0.50648424,,357.0,4.0,0
12128804,17100,0.0,0.0,1.0,0.0,0.0,90000,2644.65,Relative,Service,Graduation,,,CL,Home,0.019101,19986,6550,6647,3196,,1,0,1,,2.0,2.0,0.0,12.0,Yes,Yes,Medicine,,0.598080301,,,1645.0,,0
12102829,6750,1.0,1.0,1.0,1.0,1.0,40500,1539.9,Alone,Service,Graduation dropout,M,Male,CL,Home,0.028663,9640,215,4509,1607,0.0,1,0,0,Accountants,3.0,2.0,2.0,9.0,Yes,Yes,Business Entity Type 3,,0.283284434,0.65452928,0.1113,0.0,1.0,0
12114200,54000,1.0,0.0,0.0,1.0,3.0,24750,1237.5,Alone,Commercial,Graduation dropout,M,Female,RL,Home,0.018029,16654,6936,8168,4597,20.0,1,0,1,Managers,5.0,3.0,4.0,7.0,Yes,Yes,Self-employed,,0.628322335,0.758393062,0.0825,2591.0,1.0,0
12183711,22500,1.0,0.0,1.0,1.0,2.0,50326.65,4915.8,Alone,Service,Secondary,M,Male,CL,Home,0.007114,,2758,3840,5816,1.0,1,0,0,Accountants,4.0,2.0,1.0,15.0,Yes,Yes,Self-employed,0.338616241,0.600710972,0.334454126,0.1433,823.0,2.0,0
12172556,11250,0.0,0.0,1.0,1.0,1.0,64008,3113.1,Alone,Commercial,Graduation,M,Male,CL,Home,,13690,3548,4703,4703,,1,0,0,,3.0,3.0,5.0,11.0,Yes,No,Transport: type 4,0.611354585,0.413540305,0.605836265,,644.0,0.0,0
12183154,14400,0.0,0.0,1.0,1.0,0.0,21564,1681.65,Alone,Service,Secondary,S,Male,CL,Home,0.008575,14966,1469,5035,5035,,1,0,0,Laborers,1.0,2.0,5.0,11.0,Yes,Yes,Business Entity Type 3,,0.021501022,,,255.0,,0
12218524,,0.0,,1.0,0.0,0.0,39096,1996.2,Alone,Retired,Secondary,M,Female,CL,Home,0.00712,22887,365243,3778,3906,,1,0,0,,2.0,2.0,1.0,10.0,No,Yes,XNA,,0.633617736,0.753067392,0.0701,948.0,6.0,0
12169979,11250,0.0,,1.0,1.0,0.0,31276.8,1377.45,Alone,Service,Secondary,D,Male,CL,Home,0.0105,16487,1152,2208,35,,1,1,1,Sales,1.0,3.0,5.0,17.0,Yes,Yes,Self-employed,,0.541910936,0.363945239,,1847.0,3.0,0
12160926,12150,0.0,0.0,1.0,0.0,0.0,80865,2473.2,Alone,Retired,Secondary,S,Male,CL,Home,0.020713,23385,365243,11073,4003,,1,0,0,,1.0,3.0,2.0,7.0,Yes,Yes,XNA,0.778643115,,0.528092751,,1560.0,6.0,0
12121159,9000,0.0,0.0,0.0,1.0,0.0,90000,2631.6,Alone,Service,Graduation,M,Male,CL,Home,0.026392,19885,674,1137,3426,,1,1,1,Sales,2.0,2.0,6.0,17.0,Yes,Yes,Trade: type 7,,0.722792194,0.70918911,,1992.0,1.0,0
12113801,21600,0.0,0.0,0.0,0.0,2.0,112500,4779.45,Alone,Service,Graduation dropout,D,Male,CL,Home,0.010006,14310,1877,1293,4863,,1,0,1,HR,,2.0,4.0,14.0,Yes,Yes,Kindergarten,0.678104846,0.556349321,0.358951229,0.0825,642.0,4.0,0
12147722,24750,0.0,0.0,1.0,1.0,0.0,103500,3039.3,Relative,Service,Secondary,M,Male,CL,Home,0.019689,17965,643,11869,835,,1,0,0,Sales,2.0,2.0,4.0,12.0,Yes,Yes,Self-employed,,0.64298256,0.569148771,0.0495,783.0,3.0,0
12215412,11250,0.0,1.0,1.0,0.0,0.0,36000,2066.4,Alone,Service,Secondary,S,Male,CL,Home,0.031329,12969,5840,7066,4321,,1,1,1,Core,1.0,2.0,3.0,19.0,Yes,Yes,Self-employed,0.453478405,0.249441384,0.75574005,0.5629,533.0,1.0,0
12121092,20250,1.0,0.0,1.0,1.0,0.0,123681.6,3616.2,Relative,Service,Graduation,M,Male,CL,,0.0105,18741,1449,1755,2184,4.0,1,0,0,,2.0,3.0,3.0,10.0,Yes,Yes,Business Entity Type 3,0.607006708,0.770226571,,,815.0,,0
12111542,18000,1.0,1.0,0.0,0.0,2.0,221522.4,6361.65,Alone,Govt Job,Graduation,M,Female,CL,Home,0.031329,14758,576,635,4345,3.0,1,1,1,Managers,4.0,2.0,2.0,13.0,Yes,Yes,Government,,0.461552717,0.631354537,,,2.0,0
12125863,6525,0.0,0.0,0.0,0.0,2.0,28440,1864.35,Relative,Service,Secondary,D,Male,CL,Home,0.010643,13006,808,6870,5540,,1,0,0,Laborers,3.0,2.0,1.0,17.0,Yes,Yes,Business Entity Type 3,,0.382260619,,,1214.0,1.0,0
12106543,11250,0.0,1.0,0.0,0.0,0.0,97038,3130.2,Alone,Commercial,Secondary,S,Female,CL,Municipal,0.011657,10442,2369,6564,,,1,0,0,Waiters/barmen,1.0,1.0,1.0,21.0,Yes,Yes,Self-employed,,0.660696645,,,1238.0,,0
12191159,7650,0.0,0.0,1.0,1.0,0.0,24750,1237.5,Alone,Retired,Secondary,D,Male,RL,Home,0.028663,20338,365243,,3187,,1,0,0,,1.0,2.0,,14.0,Yes,Yes,XNA,,,0.694092643,0.0227,1195.0,3.0,0
12139322,18000,0.0,0.0,0.0,1.0,2.0,36000,1800,Relative,Commercial,Graduation,M,Male,RL,Home,0.003069,16804,2262,6055,335,,1,0,0,Laborers,4.0,3.0,3.0,16.0,Yes,Yes,Business Entity Type 3,,0.747424654,0.646329898,0.166,452.0,9.0,0
12119933,22500,0.0,0.0,1.0,0.0,0.0,14391,,Alone,Commercial,Secondary,S,Male,CL,Home,0.032561,17266,796,11173,815,,1,0,0,,1.0,1.0,4.0,12.0,Yes,Yes,Self-employed,,0.284965707,,0.2923,1568.0,,1
12219323,13500,1.0,0.0,1.0,1.0,0.0,45000,2110.95,Alone,Service,Graduation,W,Male,CL,,0.006671,16589,392,2747,135,6.0,1,0,0,Accountants,1.0,2.0,4.0,19.0,Yes,Yes,Industry: type 1,0.44323159,0.693687928,0.656158373,,1489.0,4.0,0
12205360,15750,0.0,0.0,0.0,0.0,0.0,15750,1158.75,Alone,Service,Graduation,S,Female,CL,Home,0.022625,14888,1286,1196,5009,,1,0,0,Drivers,1.0,2.0,1.0,11.0,Yes,Yes,Business Entity Type 3,0.342789871,0.611849644,0.146442067,,104.0,4.0,1
12141227,15750,0.0,0.0,0.0,1.0,0.0,125640,3686.4,Alone,Service,Secondary,S,Male,CL,Rental,0.022625,8764,499,3390,1408,,1,0,0,,1.0,2.0,6.0,12.0,No,Yes,Business Entity Type 3,0.482070721,0.416199816,0.370649632,,1.0,0.0,0
12165204,18000,1.0,0.0,0.0,1.0,1.0,168726.6,6885,Alone,Service,Graduation,M,Female,CL,Home,0.04622,17789,,6026,1330,18.0,1,0,0,Low-skill Laborers,3.0,1.0,3.0,17.0,Yes,Yes,Government,0.824930611,0.676418411,0.519097338,,1685.0,0.0,0
12181435,13500,1.0,1.0,1.0,1.0,0.0,31410,1644.3,Alone,Commercial,Graduation,M,Male,CL,Home,0.006305,12013,3973,315,4166,22.0,1,1,0,Accountants,,3.0,4.0,9.0,Yes,Yes,Self-employed,0.369650041,,0.372333666,0.1639,908.0,6.0,0
12132473,18900,0.0,0.0,0.0,1.0,0.0,17064,1153.35,Alone,Commercial,Secondary,D,Female,CL,Home,0.00963,,1085,939,1092,,1,0,0,Drivers,1.0,2.0,4.0,10.0,Yes,No,Government,,0.251889402,0.2881296,,549.0,6.0,0
12196486,18000,0.0,0.0,0.0,1.0,0.0,54504,1970.55,Alone,Retired,Secondary,M,Male,CL,Municipal,0.02461,20761,365243,8595,4253,,1,0,0,,2.0,2.0,1.0,17.0,Yes,Yes,XNA,,0.576314614,,,754.0,,0
12118447,8100,0.0,0.0,0.0,1.0,1.0,54000,2770.2,Others,Service,Secondary,S,Male,CL,Municipal,0.010276,16242,8579,8639,4620,,1,1,0,Sales,2.0,2.0,4.0,11.0,Yes,Yes,Business Entity Type 3,0.504592607,0.638896187,0.684827659,,2976.0,0.0,0
12203037,18000,1.0,0.0,1.0,1.0,0.0,45000,2250,Alone,Commercial,Secondary,M,Male,RL,Home,0.032561,13131,3139,2951,2962,6.0,1,0,1,Laborers,2.0,1.0,3.0,15.0,Yes,Yes,Trade: type 7,,0.664660927,0.832785025,0.1786,1711.0,1.0,0
12115142,7200,0.0,0.0,0.0,1.0,0.0,26100,1511.1,Relative,Service,Secondary,M,Male,CL,,0.015221,19867,1680,1866,3398,,1,0,0,Cleaning,2.0,2.0,1.0,14.0,No,Yes,Construction,,0.673987025,0.52629494,,4.0,1.0,0
12147105,9450,0.0,0.0,0.0,1.0,0.0,51856.2,2069.55,Alone,Retired,Secondary,M,Male,CL,Home,0.025164,21863,365243,5362,,,1,0,0,,2.0,,,12.0,Yes,Yes,XNA,,0.401487105,0.629674251,0.0412,903.0,2.0,0
12135345,7560,0.0,0.0,1.0,0.0,0.0,28670.4,1745.55,Alone,Retired,Secondary,W,Male,CL,Home,0.04622,21523,365243,13721,4129,,1,0,0,,1.0,1.0,5.0,16.0,Yes,Yes,XNA,,0.613297589,0.782607837,0.0371,1610.0,3.0,0
12127656,22050,0.0,0.0,0.0,1.0,1.0,129350.25,3794.85,Alone,Service,,M,Male,CL,Home,0.010147,13821,4452,8984,4506,,1,0,0,High skill tech,3.0,2.0,1.0,13.0,Yes,Yes,Self-employed,,0.361536228,,0.0825,1032.0,,0
12122615,27000,0.0,0.0,1.0,1.0,1.0,52128,1998.45,Alone,Commercial,Graduation,M,Female,,Family,0.072508,10574,1081,5437,1379,,1,0,0,High skill tech,3.0,1.0,2.0,16.0,Yes,Yes,Other,,0.759758803,0.547810466,0.146,918.0,2.0,0
12114196,9900,0.0,0.0,0.0,0.0,1.0,24750,1021.05,Alone,Service,Secondary,M,Female,CL,Family,0.01452,12905,5275,7020,4642,,1,0,1,Laborers,3.0,2.0,4.0,14.0,Yes,Yes,Industry: type 11,0.21279987,0.564451357,0.399675616,,336.0,3.0,0
12174291,18000,1.0,0.0,0.0,1.0,0.0,49182.3,2291.85,Alone,Service,Secondary,M,Female,CL,Home,0.025164,14283,581,577,5267,9.0,1,0,0,Laborers,2.0,2.0,1.0,12.0,Yes,Yes,Business Entity Type 3,,0.392285368,0.301624892,,0.0,0.0,0
12199861,19350,0.0,0.0,1.0,0.0,1.0,67500,2615.4,Alone,Commercial,Secondary,M,Male,CL,Home,0.032561,11073,913,358,2235,,1,1,1,,3.0,,1.0,12.0,Yes,Yes,Business Entity Type 3,0.522091626,0.116234456,0.45432106,0.1381,1460.0,0.0,0
12121870,27000,0.0,0.0,1.0,1.0,0.0,76022.55,3233.7,Alone,Service,Graduation dropout,M,Female,CL,Home,0.025164,13923,5879,5795,4774,,1,0,0,Core,2.0,2.0,2.0,15.0,Yes,Yes,Business Entity Type 3,0.302776406,0.649914478,0.689479143,0.0711,0.0,2.0,0
12192978,13500,1.0,0.0,1.0,1.0,1.0,22500,2362.5,Alone,Commercial,Secondary,D,Female,CL,Home,0.01452,11724,2279,3769,4240,10.0,1,0,0,,2.0,2.0,1.0,12.0,Yes,Yes,Business Entity Type 3,0.492564919,0.739378602,0.681705878,,1716.0,2.0,1
12200098,15750,0.0,0.0,1.0,1.0,3.0,128835,3780,Alone,Commercial,Graduation,M,Male,CL,Home,0.04622,13891,345,7924,5019,,1,0,0,Core,5.0,1.0,2.0,14.0,Yes,Yes,Bank,0.550303463,0.619878435,0.835776516,0.2196,248.0,1.0,0
12102535,18000,0.0,1.0,1.0,0.0,0.0,34826.4,1833.75,Alone,Retired,Graduation,W,Male,CL,Home,0.035792,,365243,1926,,,1,0,0,,1.0,2.0,6.0,14.0,Yes,Yes,XNA,0.590454194,0.65585633,0.399675616,,513.0,9.0,0
12209197,9000,0.0,,1.0,1.0,0.0,50849.55,3424.95,Alone,Retired,Junior secondary,M,Male,CL,Home,0.006671,20182,365243,848,836,,1,0,0,,2.0,2.0,2.0,14.0,Yes,Yes,XNA,,0.602566281,0.605836265,,514.0,1.0,0
12196170,20250,0.0,0.0,0.0,1.0,0.0,33192,1813.5,Relative,Govt Job,Graduation,M,Male,CL,,0.031329,,7165,1671,5520,,1,0,0,Core,2.0,2.0,6.0,10.0,Yes,Yes,School,,0.308298272,0.457899551,,0.0,13.0,0
12158886,27000,0.0,1.0,1.0,1.0,0.0,55380.6,2677.05,Alone,Retired,Secondary,M,Male,,Home,0.032561,21254,365243,4190,4786,,1,0,0,,2.0,1.0,1.0,10.0,Yes,Yes,XNA,,0.661558897,,0.2588,0.0,,0
12167610,13500,0.0,1.0,1.0,1.0,1.0,15282,1737,Alone,Service,Secondary,M,Male,CL,Family,0.014464,13021,913,6105,2412,,1,0,0,Laborers,3.0,2.0,6.0,,Yes,Yes,Business Entity Type 1,0.496020704,0.61492996,0.554946769,,2608.0,3.0,0
12143284,18000,0.0,0.0,0.0,1.0,0.0,75519,2889.45,Alone,Govt Job,Secondary,M,Male,CL,Home,0.002042,,6586,,2090,,1,0,0,High skill tech,2.0,,6.0,16.0,Yes,Yes,Business Entity Type 3,,0.215156951,,0.0052,1283.0,1.0,0
12134948,11250,0.0,0.0,0.0,1.0,0.0,22500,1804.05,Alone,Service,Secondary,M,,CL,Home,0.028663,12913,173,1839,4254,,1,0,0,Drivers,2.0,2.0,2.0,14.0,Yes,Yes,Business Entity Type 3,,0.367137409,0.692559067,0.1021,249.0,2.0,0
